2021-09-25	Faith starts in the desert	theology	a cowboy eventually wonders	what if God dies and I'm a horse	what if I die	what if I die \n and God's not a horse	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-09-27	No idea	catchphrase	ringa ding ding you bastard	I think it's morse code for 'e'	ringa ding ding	thats my new catchphrase	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-09-28	I thought of a better one	anothercatchphrase	everyday is a new day	yeehaw	I love riding my horse	Thats my new catchphrase	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-11-08	Completely abolished	nocows	It's important to take a strong stand	erase any and all memory of them	As a cowboy I have \n strong opinions about cows	I do not think \n cows should exist	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-11-09	If x then y	bighat	An observation or, perhaps, an affirmation	large, perhaps	Big hat	Big hat, big brain	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-11-25	Nobody tells you	babyshower	opaque and mysterious divinations	why challenge a cowboy like me	I've been invited to \n a baby shower. \n I'm intimidated.	How the hell \n will I know which \n one's the baby	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-11-28	Cerrando Ciclos	cerrandociclos	There is a limit to growth	what do I have to show for it	Every morning I wake up \n better and healthier	that cycle ends today	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-12-01	toot toot	jazz	Oh Joseph son of Jacob, what does it mean	late night club of the subconcious	I dreamt about jazz last night	honk honk-honk honk-h-h-h \n honk tsh psh tsh psh \n ssss honk	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2021-12-04	a little cowboy told me	slander	all for one	cowboy crimes	Got a big day ahead. \n A lot of gossip, and slander	If I can't be cowboy of \n the year, nobody can	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-02	More important to ask than to answer	hatmaths	graham's number	there is	Is there a mathematical \n upper limit to the number \n of hats I can wear?	decided I don't care	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-05	It's me, Jorge	ajedrez	Borges was right to end it where he did	why did I even ask	God moves the cowboy, \n and he, the horse. Which god \n behind God begets the plot \n of dust and time and dreams \n and agonies?	decided I don't care	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-07	The fast and the frightened	knowyourlimits	What else could you know	fear is the mind killer	How fast can my horse go?	if I wasn't such a coward \n I could find out	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-10	not my fault	thecostofgalloping	full culpability	he wont admit it	I should start sweeping up, \n this place is a dusty mess	my horse is to blame	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-16	In a deep voice	fromthehorsesmouth	much to think about	hmmmmmmmm	Horse spoke to me last night. \n Without me, you're trapped, \n without you, I'm free	hmm	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-19	I am the horse	explain	The horse is the metaphor	more grist for the metaphor mill	I am an artist. \n The horse is my brush, \n the desert my canvas	wait that doesn't \n make any sense	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-21	That's just the way I am	deepestdarkest	What's worse that one?	2 bugs in love	My deepest fear \n is that I'll put my boots on \n and find a bug in there	That I'll find 2 bugs in there	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-23	The horse knows what the cowboy does not	forbiddenknowledge	That path leads to ruin	Save me from myself	If all horses are mammals \n and some mammals \n are cowboys...	No. \n I can't be asking \n these sorts of questions.	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-01-25	Just sounds	semiotics	yee haw	random mouth sounds	I'm a cow boy, baby	I wish I knew \n what those words meant	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
2022-02-01	Always nervous after a trim	newtrim	Jinxed it	They didn't even notice	I hope none of the cows \n make fun of my new haircut	today could not \n have gone any worse	A cowboy riding left to right, smoking. The sun is up and there are birds in the sky	A cowboy riding right to left, smoking. The moon is up and there are stars in the sky	Panel one: A cowboy riding left to right, smoking. The sun is up and there are birds in the sky. Panel two: A cowboy riding right to left, smoking. The moon is up and there are stars in the sky
